DriverName,LapNumber,Lap,S1,S2,S3,Tyres
Cameron Searle,1,1:46.635,33.191,29.646,43.797,Hard
Cameron Searle,2,1:37.655,24.585,30.106,42.962,Hard
Cameron Searle,3,1:35.577,23.852,28.996,42.727,Hard
Cameron Searle,4,1:36.228,24.092,29.366,42.769,Hard
Cameron Searle,5,1:49.085,26.814,33.453,48.817,Hard
Cameron Searle,6,2:12.937,27.160,42.372,1:03.404,Hard
Cameron Searle,7,2:24.300,34.289,41.843,2.631,Hard
Cameron Searle,8,1:35.852,24.018,29.783,42.049,Hard
Cameron Searle,9,1:35.981,23.830,29.534,42.616,Hard
Cameron Searle,10,1:36.280,24.065,29.315,42.899,Hard
Cameron Searle,11,1:35.636,23.833,29.450,42.353,Hard
Cameron Searle,12,1:35.869,23.864,29.279,42.725,Hard
Cameron Searle,13,1:34.818,23.969,28.687,42.161,Hard
Cameron Searle,14,1:35.243,23.428,29.461,42.353,Hard
Cameron Searle,15,1:35.095,23.606,29.322,42.167,Hard
Cameron Searle,16,1:55.431,23.581,29.294,1:02.554,Medium
Cameron Searle,17,1:37.941,27.285,29.190,41.466,Medium
Cameron Searle,18,1:32.513,23.051,28.340,41.121,Medium
Cameron Searle,19,1:33.681,23.041,28.946,41.693,Medium
Cameron Searle,20,1:34.024,23.302,28.977,41.744,Medium
Cameron Searle,21,1:34.022,23.217,28.964,41.841,Medium
Cameron Searle,22,1:34.949,23.460,29.172,42.316,Medium
Cameron Searle,23,1:37.211,23.894,29.706,43.611,Medium
Cameron Searle,24,2:00.116,24.618,30.721,1:04.775,Intermediate
Cameron Searle,25,1:43.387,28.734,30.143,44.509,Intermediate
Cameron Searle,26,1:39.665,24.664,30.386,44.614,Intermediate
Cameron Searle,27,1:40.506,25.002,30.606,44.897,Intermediate
Kent,1,1:42.799,31.250,29.170,42.378,Hard
Kent,2,1:36.283,23.739,29.754,42.789,Hard
Kent,3,1:35.351,23.856,28.899,42.595,Hard
Kent,4,1:35.800,24.039,29.049,42.710,Hard
Kent,5,1:48.115,26.303,36.166,45.646,Hard
Kent,6,2:17.310,32.204,41.978,1:03.127,Hard
Kent,7,2:25.204,35.137,41.964,2.566,Hard
Kent,8,1:36.404,24.278,29.369,42.756,Hard
Kent,9,1:36.180,23.909,29.346,42.924,Hard
Kent,10,1:36.767,23.941,29.916,42.909,Hard
Kent,11,1:36.257,23.825,29.348,43.083,Hard
Kent,12,1:36.097,24.026,29.321,42.749,Hard
Kent,13,1:35.965,24.009,29.244,42.712,Hard
Kent,14,1:36.503,23.987,29.382,43.133,Hard
Kent,15,1:56.444,24.143,29.464,1:02.835,Medium
Kent,16,1:39.209,28.064,29.301,41.843,Medium
Kent,17,1:35.091,23.708,29.067,42.316,Medium
Kent,18,1:35.078,23.737,29.185,42.156,Medium
Kent,19,1:35.087,23.686,29.172,42.227,Medium
Kent,20,1:35.109,23.671,29.213,42.224,Medium
Kent,21,1:35.504,23.889,29.071,42.543,Medium
Kent,22,1:36.808,24.239,29.640,42.927,Medium
Kent,23,1:39.441,24.442,30.319,44.679,Medium
Kent,24,2:02.253,25.476,31.176,0.064,Intermediate
Kent,25,1:44.859,28.970,30.754,45.134,Intermediate
Kent,26,1:41.277,25.430,30.684,45.162,Intermediate
Kent,27,1:41.917,25.653,30.812,45.451,Intermediate
Alessio Banezzi,1,1:43.565,31.783,29.341,42.440,Hard
Alessio Banezzi,2,1:35.917,23.912,29.420,42.584,Hard
Alessio Banezzi,3,1:35.742,24.172,29.148,42.421,Hard
Alessio Banezzi,4,1:35.526,23.913,29.104,42.508,Hard
Alessio Banezzi,5,1:48.232,26.549,36.296,45.386,Hard
Alessio Banezzi,6,2:17.330,32.230,42.011,1:03.088,Hard
Alessio Banezzi,7,2:25.117,35.110,41.840,2.630,Hard
Alessio Banezzi,8,1:36.350,24.158,29.488,42.703,Hard
Alessio Banezzi,9,1:36.078,24.069,29.373,42.636,Hard
Alessio Banezzi,10,1:35.539,24.015,29.043,42.480,Hard
Alessio Banezzi,11,1:36.117,24.092,29.294,42.730,Hard
Alessio Banezzi,12,1:36.319,24.222,29.227,42.869,Hard
Alessio Banezzi,13,1:36.013,23.967,29.552,42.493,Hard
Alessio Banezzi,14,1:36.023,24.181,29.296,42.545,Hard
Alessio Banezzi,15,1:55.319,24.065,29.371,1:01.882,Medium
Alessio Banezzi,16,1:38.536,27.746,29.075,41.715,Medium
Alessio Banezzi,17,1:34.728,23.590,29.177,41.961,Medium
Alessio Banezzi,18,1:34.979,23.773,29.094,42.111,Medium
Alessio Banezzi,19,1:35.125,23.631,29.152,42.341,Medium
Alessio Banezzi,20,1:35.378,24.451,28.812,42.114,Medium
Alessio Banezzi,21,1:35.207,23.733,29.201,42.272,Medium
Alessio Banezzi,22,1:36.737,24.115,29.726,42.894,Medium
Alessio Banezzi,23,1:39.586,24.795,30.273,44.518,Medium
Alessio Banezzi,24,2:03.265,25.498,31.699,0.531,Intermediate
Alessio Banezzi,25,1:48.561,32.398,31.174,44.989,Intermediate
Alessio Banezzi,26,1:41.236,25.321,30.911,45.003,Intermediate
Alessio Banezzi,27,1:42.124,25.680,31.003,45.440,Intermediate
rikimaru,1,1:46.094,32.786,30.107,43.200,Hard
rikimaru,2,1:36.741,24.867,29.626,42.247,Hard
rikimaru,3,1:35.987,24.110,29.379,42.497,Hard
rikimaru,4,1:36.437,24.587,29.785,42.064,Hard
rikimaru,5,1:49.344,26.578,34.173,48.592,Hard
rikimaru,6,2:12.363,27.098,42.221,1:03.044,Hard
rikimaru,7,2:24.981,34.798,41.894,2.752,Hard
rikimaru,8,1:42.618,24.239,36.117,42.261,Hard
rikimaru,9,1:42.357,24.255,33.573,44.527,Hard
rikimaru,10,1:38.848,25.108,30.305,43.435,Hard
rikimaru,11,1:36.894,24.249,29.463,43.180,Hard
rikimaru,12,1:37.067,24.224,29.641,43.201,Hard
rikimaru,13,1:36.862,24.429,29.319,43.113,Hard
rikimaru,14,1:37.146,24.187,29.800,43.158,Hard
