DriverName,LapNumber,Lap,S1,S2,S3,Tyres
Cameron Searle,1,1:40.825,28.412,39.621,32.791,Hard
Cameron Searle,2,1:43.146,27.078,39.818,36.249,Hard
Cameron Searle,3,2:26.960,37.238,58.143,51.578,Hard
Cameron Searle,4,2:35.873,43.080,58.270,54.523,Hard
Cameron Searle,5,1:43.104,29.130,39.926,34.047,Hard
Cameron Searle,6,1:40.182,27.028,39.758,33.394,Hard
Cameron Searle,7,1:39.611,27.112,39.710,32.787,Hard
Cameron Searle,8,1:39.305,26.877,40.118,32.309,Hard
Cameron Searle,9,1:38.681,26.855,39.298,32.527,Hard
Cameron Searle,10,1:39.769,26.828,39.476,33.463,Hard
Cameron Searle,11,1:38.893,26.975,39.362,32.556,Hard
Cameron Searle,12,1:39.332,26.861,39.565,32.906,Hard
Cameron Searle,13,1:38.649,26.995,39.385,32.268,Hard
Cameron Searle,14,1:38.345,26.828,39.270,32.247,Hard
Cameron Searle,15,1:38.550,26.795,39.451,32.303,Hard
Cameron Searle,16,1:38.698,26.806,39.518,32.373,Hard
Cameron Searle,17,1:39.055,26.636,39.567,32.851,Medium
Cameron Searle,18,1:56.220,45.236,39.189,31.794,Medium
Cameron Searle,19,1:36.107,26.193,38.270,31.643,Medium
Cameron Searle,20,1:37.233,26.393,39.005,31.833,Medium
Cameron Searle,21,1:37.528,26.535,39.222,31.769,Medium
Cameron Searle,22,1:37.356,26.596,38.961,31.798,Medium
Cameron Searle,23,1:37.829,26.650,39.268,31.910,Medium
Cameron Searle,24,1:37.410,26.529,39.008,31.872,Medium
Cameron Searle,25,1:37.552,26.525,39.127,31.899,Medium
Cameron Searle,26,1:37.685,26.701,39.186,31.797,Medium
Cameron Searle,27,1:37.715,26.664,39.138,31.912,Medium
Cameron Searle,28,1:37.148,26.251,38.643,32.253,Medium
probablyOwen,1,1:40.279,27.776,39.548,32.954,Hard
probablyOwen,2,1:43.279,27.021,39.643,36.615,Hard
probablyOwen,3,2:26.645,37.081,58.028,51.534,Hard
probablyOwen,4,2:36.321,43.068,58.228,55.024,Hard
probablyOwen,5,1:41.068,27.687,39.920,33.460,Hard
probablyOwen,6,1:41.631,27.291,40.129,34.210,Hard
probablyOwen,7,1:39.218,26.916,39.279,33.022,Hard
probablyOwen,8,1:39.389,26.995,39.127,33.265,Hard
probablyOwen,9,1:39.278,26.812,39.192,33.272,Hard
probablyOwen,10,1:39.395,27.088,39.156,33.150,Hard
probablyOwen,11,1:39.470,26.851,39.703,32.915,Hard
probablyOwen,12,1:39.589,27.033,39.393,33.162,Hard
probablyOwen,13,1:44.726,27.614,39.249,37.862,Hard
probablyOwen,14,1:39.524,26.918,39.662,32.943,Hard
probablyOwen,15,1:40.102,26.899,39.489,33.713,Medium
probablyOwen,16,1:56.898,45.295,39.157,32.446,Medium
probablyOwen,17,1:37.338,26.466,38.618,32.253,Medium
probablyOwen,18,1:37.898,26.651,38.953,32.293,Medium
probablyOwen,19,1:37.647,26.289,39.077,32.281,Medium
probablyOwen,20,1:37.932,26.834,38.510,32.586,Medium
probablyOwen,21,1:38.078,26.720,38.968,32.389,Medium
probablyOwen,22,1:38.239,26.688,39.066,32.484,Medium
probablyOwen,23,1:38.443,26.482,39.221,32.738,Medium
probablyOwen,24,1:38.656,26.493,39.475,32.687,Medium
probablyOwen,25,1:38.518,26.696,39.075,32.746,Medium
probablyOwen,26,1:38.514,26.717,39.112,32.685,Medium
probablyOwen,27,1:38.847,26.580,39.516,32.750,Medium
probablyOwen,28,1:39.118,26.565,39.370,33.182,Medium
Traumatized,1,1:41.845,29.241,39.568,33.034,Medium
Traumatized,2,1:42.407,26.780,39.571,36.055,Medium
Traumatized,3,2:27.622,37.776,58.051,51.793,Medium
Traumatized,4,2:34.985,42.831,58.548,53.605,Medium
Traumatized,5,1:40.996,27.809,39.736,33.450,Medium
Traumatized,6,1:40.647,27.465,39.755,33.425,Medium
Traumatized,7,1:39.120,27.161,39.310,32.648,Medium
Traumatized,8,1:39.320,27.043,39.431,32.846,Medium
Traumatized,9,1:39.665,26.797,39.970,32.896,Medium
Traumatized,10,1:40.633,27.049,39.706,33.876,Medium
Traumatized,11,1:39.784,26.700,40.029,33.054,Medium
Traumatized,12,1:40.218,27.134,39.341,33.742,Hard
Traumatized,13,1:58.205,46.057,39.711,32.436,Hard
Traumatized,14,1:38.593,26.816,39.127,32.649,Hard
Traumatized,15,1:38.421,26.778,39.227,32.415,Hard
Traumatized,16,1:38.986,27.200,39.275,32.510,Hard
Traumatized,17,1:38.870,26.971,39.437,32.461,Hard
Traumatized,18,1:39.358,26.868,39.930,32.559,Hard
Traumatized,19,1:39.214,27.123,39.503,32.587,Hard
Traumatized,20,1:39.272,26.953,39.731,32.587,Hard
Traumatized,21,1:38.938,26.767,39.537,32.633,Hard
Traumatized,22,1:39.198,26.810,39.649,32.737,Hard
Traumatized,23,1:39.967,27.064,39.843,33.059,Hard
Traumatized,24,1:39.172,26.915,39.228,33.028,Hard
Traumatized,25,1:39.227,27.252,39.447,32.527,Hard
Traumatized,26,1:39.013,26.995,39.493,32.524,Hard
Traumatized,27,1:38.765,26.903,39.432,32.429,Hard
Traumatized,28,1:38.932,26.978,39.437,32.516,Hard
Kr15-D1MOV,1,1:40.515,28.007,39.581,32.926,Medium
Kr15-D1MOV,2,1:44.247,27.020,40.357,36.869,Hard
Kr15-D1MOV,3,2:31.809,48.100,52.647,51.061,Hard
Kr15-D1MOV,4,2:34.022,42.711,1:01.363,49.946,Hard
Kr15-D1MOV,5,1:40.505,27.167,40.547,32.791,Hard
Kr15-D1MOV,6,1:40.942,27.250,40.702,32.989,Hard
Kr15-D1MOV,7,1:41.081,27.139,40.255,33.685,Hard
Kr15-D1MOV,8,1:40.872,26.513,41.179,33.178,Hard
Kr15-D1MOV,9,1:38.968,26.772,39.699,32.496,Hard
Kr15-D1MOV,10,1:39.062,26.945,39.733,32.384,Hard
Kr15-D1MOV,11,1:38.894,27.015,39.472,32.406,Hard
Kr15-D1MOV,12,1:38.908,26.819,39.762,32.325,Hard
Kr15-D1MOV,13,1:38.530,26.762,39.479,32.288,Hard
Kr15-D1MOV,14,1:48.042,26.571,39.517,41.954,Medium
Kr15-D1MOV,15,1:56.375,44.887,39.414,32.073,Medium
Kr15-D1MOV,16,1:37.522,26.621,38.948,31.952,Medium
Kr15-D1MOV,17,1:37.291,26.482,38.959,31.849,Medium
Kr15-D1MOV,18,1:37.517,26.684,38.832,32.000,Medium
Kr15-D1MOV,19,1:37.647,26.439,39.255,31.952,Medium
Kr15-D1MOV,20,1:37.370,26.613,38.886,31.870,Medium
Kr15-D1MOV,21,1:37.591,26.614,39.169,31.807,Medium
Kr15-D1MOV,22,1:38.928,26.553,39.416,32.958,Medium
Kr15-D1MOV,23,1:38.589,26.909,39.522,32.157,Medium
Kr15-D1MOV,24,1:38.489,26.661,39.431,32.395,Medium
Kr15-D1MOV,25,1:38.515,26.708,39.657,32.148,Medium
Kr15-D1MOV,26,1:38.439,26.421,39.184,32.833,Medium
