DriverName,LapNumber,Lap,S1,S2,S3,Tyres
probablyOwen,1,1:27.782,33.693,18.610,35.478,Medium
probablyOwen,2,1:22.958,28.435,18.352,36.170,Medium
probablyOwen,3,1:22.584,28.342,18.444,35.798,Medium
probablyOwen,4,1:23.764,28.781,18.623,36.359,Medium
probablyOwen,5,1:22.539,28.669,18.397,35.472,Medium
probablyOwen,6,1:23.056,28.771,18.580,35.705,Medium
probablyOwen,7,1:22.908,28.788,18.318,35.801,Medium
probablyOwen,8,1:22.942,28.720,18.437,35.785,Medium
probablyOwen,9,1:23.182,28.912,18.603,35.666,Medium
probablyOwen,10,1:27.577,28.765,18.597,40.214,Medium
probablyOwen,11,1:23.651,28.987,18.673,35.990,Medium
probablyOwen,12,1:36.700,28.957,18.651,49.091,Hard
probablyOwen,13,1:28.584,34.427,18.717,35.439,Hard
probablyOwen,14,1:21.695,28.351,18.195,35.148,Hard
probablyOwen,15,1:22.133,28.594,18.197,35.341,Hard
probablyOwen,16,1:22.415,28.672,18.441,35.301,Hard
probablyOwen,17,1:22.646,28.634,18.319,35.692,Hard
probablyOwen,18,1:22.658,28.739,18.326,35.591,Hard
probablyOwen,19,1:22.775,28.615,18.622,35.536,Hard
probablyOwen,20,1:22.365,28.675,18.450,35.239,Hard
probablyOwen,21,1:22.429,28.672,18.437,35.319,Hard
probablyOwen,22,1:22.161,28.520,18.325,35.316,Hard
probablyOwen,23,1:22.319,28.643,18.531,35.144,Hard
probablyOwen,24,1:22.654,28.597,18.478,35.578,Hard
probablyOwen,25,1:22.418,28.698,18.251,35.468,Hard
probablyOwen,26,1:22.677,28.697,18.340,35.639,Hard
probablyOwen,27,1:22.501,28.637,18.331,35.532,Hard
probablyOwen,28,1:22.630,28.543,18.340,35.747,Hard
probablyOwen,29,1:22.632,28.645,18.419,35.566,Hard
Alessio Banezzi,1,1:33.262,37.208,19.098,36.955,Hard
Alessio Banezzi,2,1:22.885,28.860,18.481,35.543,Hard
Alessio Banezzi,3,1:23.318,28.837,18.536,35.944,Hard
Alessio Banezzi,4,1:23.218,28.998,18.517,35.702,Hard
Alessio Banezzi,5,1:23.256,28.884,18.886,35.485,Hard
Alessio Banezzi,6,1:23.023,28.813,18.473,35.736,Hard
Alessio Banezzi,7,1:23.243,28.949,18.656,35.637,Hard
Alessio Banezzi,8,1:22.992,28.767,18.733,35.491,Hard
Alessio Banezzi,9,1:23.558,29.026,18.607,35.923,Hard
Alessio Banezzi,10,1:23.820,28.969,18.550,36.299,Hard
Alessio Banezzi,11,1:23.425,28.863,18.719,35.842,Hard
Alessio Banezzi,12,1:22.977,28.830,18.464,35.682,Hard
Alessio Banezzi,13,1:23.129,28.977,18.557,35.594,Hard
Alessio Banezzi,14,1:23.155,28.884,18.637,35.633,Hard
Alessio Banezzi,15,1:23.142,28.904,18.571,35.667,Hard
Alessio Banezzi,16,1:36.000,29.025,18.707,48.267,Medium
Alessio Banezzi,17,1:27.541,34.182,18.369,34.988,Medium
Alessio Banezzi,18,1:21.795,28.478,18.360,34.956,Medium
Alessio Banezzi,19,1:22.240,28.713,18.475,35.051,Medium
Alessio Banezzi,20,1:21.955,28.534,18.455,34.965,Medium
Alessio Banezzi,21,1:22.906,28.420,18.185,36.300,Medium
Alessio Banezzi,22,1:24.127,29.479,18.668,35.980,Medium
Alessio Banezzi,23,1:24.055,29.216,18.320,36.517,Medium
Alessio Banezzi,24,1:24.577,29.900,18.392,36.283,Medium
Alessio Banezzi,25,1:23.160,29.004,18.436,35.719,Medium
Alessio Banezzi,26,1:23.183,28.972,18.387,35.822,Medium
Alessio Banezzi,27,1:23.310,28.922,18.437,35.949,Medium
Alessio Banezzi,28,1:23.425,28.919,18.438,36.067,Medium
Alessio Banezzi,29,1:23.524,28.887,18.340,36.296,Medium
Kr15-D1MOV,1,1:32.488,37.287,18.773,36.426,Medium
Kr15-D1MOV,2,1:21.910,28.555,18.372,34.983,Medium
Kr15-D1MOV,3,1:22.542,28.689,18.397,35.454,Medium
Kr15-D1MOV,4,1:22.583,28.640,18.275,35.667,Medium
Kr15-D1MOV,5,1:22.573,28.734,18.498,35.340,Medium
Kr15-D1MOV,6,1:22.428,28.653,18.340,35.434,Medium
Kr15-D1MOV,7,1:22.563,28.757,18.473,35.333,Medium
Kr15-D1MOV,8,1:22.366,28.665,18.523,35.178,Medium
Kr15-D1MOV,9,1:22.691,28.575,18.513,35.603,Medium
Kr15-D1MOV,10,1:44.206,28.921,18.291,56.993,Hard
Kr15-D1MOV,11,1:28.375,34.290,18.249,35.835,Hard
Kr15-D1MOV,12,1:22.504,28.523,18.633,35.347,Hard
Kr15-D1MOV,13,1:23.013,28.754,18.487,35.772,Hard
Kr15-D1MOV,14,1:22.304,28.751,18.172,35.380,Hard
Kr15-D1MOV,15,1:22.445,28.701,18.563,35.180,Hard
Kr15-D1MOV,16,1:21.963,28.648,18.186,35.129,Hard
Kr15-D1MOV,17,1:22.442,28.650,18.340,35.451,Hard
Kr15-D1MOV,18,1:22.542,28.719,18.349,35.473,Hard
Kr15-D1MOV,19,1:22.378,28.657,18.347,35.374,Hard
Kr15-D1MOV,20,1:22.823,28.701,18.606,35.515,Hard
Kr15-D1MOV,21,1:23.892,28.675,18.441,36.775,Hard
Kr15-D1MOV,22,1:24.641,29.730,18.849,36.061,Hard
Kr15-D1MOV,23,1:23.702,28.846,18.339,36.517,Hard
Kr15-D1MOV,24,1:22.400,29.273,18.209,34.917,Hard
Kr15-D1MOV,25,1:22.248,28.413,18.333,35.501,Hard
Kr15-D1MOV,26,1:22.223,28.570,18.240,35.411,Hard
Kr15-D1MOV,27,1:22.137,28.562,18.283,35.291,Hard
Kr15-D1MOV,28,1:22.021,28.447,18.282,35.291,Hard
Kr15-D1MOV,29,1:21.812,28.584,18.222,35.006,Hard
Cameron Searle,1,1:52.887,37.096,18.620,57.170,Hard
Cameron Searle,2,1:27.414,33.976,18.509,34.927,Medium
Cameron Searle,3,1:21.207,28.303,18.188,34.715,Medium
