DriverName,LapNumber,Lap,S1,S2,S3,Tyres
Dean M,1,1:19.785,24.908,22.957,31.919,Medium
Dean M,2,1:39.243,24.392,33.454,41.397,Medium
Dean M,3,2:00.557,29.881,33.893,56.783,Medium
Dean M,4,1:13.406,20.990,23.020,29.396,Medium
Dean M,5,1:16.405,20.604,23.051,32.749,Medium
Dean M,6,1:37.441,22.803,33.645,40.992,Medium
Dean M,7,1:45.150,30.131,33.986,41.032,Medium
Dean M,8,1:55.611,30.220,33.736,51.654,Medium
Dean M,9,1:12.974,20.515,23.182,29.276,Medium
Dean M,10,1:13.130,20.625,23.201,29.303,Medium
Dean M,11,1:13.437,20.634,23.219,29.583,Medium
Dean M,12,1:13.758,20.702,23.224,29.830,Medium
Med M,1,1:20.772,25.488,22.951,32.333,Medium
Med M,2,1:38.953,24.446,33.456,41.050,Medium
Med M,3,2:00.243,29.917,34.093,56.233,Medium
Med M,4,1:13.986,21.146,23.286,29.553,Medium
Med M,5,1:16.822,20.644,23.143,33.034,Medium
Med M,6,1:37.038,24.250,31.516,41.271,Medium
Med M,7,1:45.121,29.984,34.191,40.945,Medium
Med M,8,1:55.199,29.911,33.961,51.326,Medium
Med M,9,1:13.905,21.108,23.187,29.609,Medium
Med M,10,1:14.154,20.783,23.624,29.746,Medium
Med M,11,1:13.322,20.737,23.150,29.433,Medium
Med M,12,1:13.495,20.347,23.265,29.881,Medium
Riccardo G,1,1:21.738,26.577,22.996,32.164,Medium
Riccardo G,2,1:38.547,24.120,33.546,40.881,Medium
Riccardo G,3,2:00.153,29.901,34.164,56.088,Medium
Riccardo G,4,1:17.872,23.281,24.847,29.743,Medium
Riccardo G,5,1:15.734,20.746,24.039,30.949,Medium
Riccardo G,6,1:34.315,21.604,31.135,41.575,Medium
Riccardo G,7,1:45.201,30.114,34.152,40.933,Medium
Riccardo G,8,1:55.419,29.724,34.288,51.405,Medium
Riccardo G,9,1:14.583,21.189,23.594,29.798,Medium
Riccardo G,10,1:13.987,20.486,23.343,30.157,Medium
Riccardo G,11,1:15.065,20.797,23.742,30.526,Medium
Riccardo G,12,1:15.648,21.029,24.072,30.545,Medium
Mehdi T,1,1:22.674,27.490,23.246,31.937,Medium
Mehdi T,2,1:38.709,23.887,33.281,41.540,Medium
Mehdi T,3,1:58.859,29.316,34.037,55.505,Medium
Mehdi T,4,1:18.366,23.207,25.419,29.739,Medium
Mehdi T,5,1:49.988,20.822,23.808,1:05.357,Soft
Mehdi T,6,1:19.417,23.392,25.146,30.879,Soft
Mehdi T,7,1:29.117,21.395,28.915,38.805,Soft
Mehdi T,8,1:55.407,29.838,34.993,50.575,Soft
Mehdi T,9,1:26.590,22.689,34.598,29.302,Soft
Mehdi T,10,1:13.563,20.533,23.354,29.675,Soft
Mehdi T,11,1:13.988,21.160,23.453,29.374,Soft
Mehdi T,12,1:13.074,20.373,23.131,29.570,Soft
Adit M,1,1:47.648,33.884,25.468,48.294,Medium
Adit M,2,1:37.123,22.861,24.130,50.131,Soft
Adit M,3,1:36.605,23.845,25.402,47.358,Soft
Adit M,4,1:21.578,25.713,24.405,31.459,Soft
Adit M,5,1:38.891,21.875,24.371,52.644,Soft
Adit M,6,1:18.958,22.754,24.038,32.165,Soft
Adit M,7,1:35.999,22.763,33.310,39.926,Soft
Adit M,8,1:54.748,29.735,34.513,50.499,Soft
Adit M,9,1:17.002,23.095,24.020,29.885,Soft
Adit M,10,1:14.067,21.003,23.408,29.655,Soft
Adit M,11,1:19.200,20.314,23.390,35.495,Soft
Adit M,12,1:15.403,22.070,23.079,30.254,Soft
Martin S,1,1:50.904,32.836,25.060,53.007,Medium
Martin S,2,1:17.249,22.581,24.072,30.595,Medium
Martin S,3,1:52.795,26.387,34.730,51.677,Medium
Martin S,4,1:20.404,24.878,24.366,31.160,Medium
Martin S,5,1:15.102,21.124,23.588,30.389,Medium
Martin S,6,1:32.517,21.705,29.474,41.337,Medium
Martin S,7,1:45.567,30.129,34.543,40.894,Medium
Martin S,8,1:54.907,29.609,34.427,50.870,Medium
Martin S,9,1:15.161,21.566,23.509,30.086,Medium
Martin S,10,1:14.772,21.068,23.823,29.880,Medium
Martin S,11,1:15.170,21.057,23.690,30.422,Medium
Martin S,12,1:15.210,21.098,23.773,30.337,Medium
Carter N,1,1:25.798,28.821,23.557,33.419,Medium
Carter N,2,1:36.722,21.916,33.242,41.564,Medium
Carter N,3,1:58.244,29.503,34.444,54.296,Medium
Carter N,4,1:19.816,24.289,25.017,30.509,Medium
Carter N,5,1:39.442,21.951,24.897,52.592,Soft
Carter N,6,1:18.640,22.428,24.850,31.360,Soft
Carter N,7,1:37.322,21.908,35.100,40.313,Soft
Carter N,8,1:55.509,30.151,34.498,50.859,Soft
Carter N,9,1:15.833,21.869,24.153,29.810,Soft
Carter N,10,1:24.845,29.177,25.578,30.088,Soft
Carter N,11,1:15.683,21.510,24.185,29.988,Soft
Carter N,12,1:16.726,22.591,23.986,30.148,Soft
Tabonga Z,1,1:54.653,33.124,25.229,56.300,Medium
Tabonga Z,2,1:18.298,23.176,24.482,30.639,Medium
Tabonga Z,3,1:48.321,22.492,34.550,51.279,Medium
Tabonga Z,4,1:19.088,24.030,24.562,30.495,Medium
Tabonga Z,5,1:16.876,21.760,23.770,31.345,Medium
Tabonga Z,6,1:32.425,21.431,29.569,41.424,Medium
Tabonga Z,7,1:45.353,30.068,34.586,40.699,Medium
Tabonga Z,8,1:55.118,29.780,34.224,51.113,Medium
Tabonga Z,9,1:18.320,22.999,25.348,29.973,Medium
Tabonga Z,10,1:16.924,22.730,24.410,29.784,Medium
