DriverName,LapNumber,Lap,S1,S2,S3,Tyres
Dean M,1,1:23.918,25.497,25.914,32.506,Medium
Dean M,2,1:18.074,24.608,23.769,29.696,Medium
Dean M,3,1:14.013,20.584,23.318,30.110,Medium
Dean M,4,1:14.134,20.870,23.489,29.775,Medium
Dean M,5,1:14.184,20.736,23.432,30.015,Medium
Dean M,6,1:13.837,20.759,23.352,29.726,Medium
Dean M,7,1:14.208,20.782,23.479,29.946,Medium
Dean M,8,1:13.706,20.667,23.213,29.824,Medium
Dean M,9,1:14.316,20.752,23.511,30.052,Medium
Dean M,10,1:14.454,20.868,23.627,29.958,Medium
Dean M,11,1:38.742,25.146,26.106,47.489,Hard
Dean M,12,1:26.254,23.128,24.177,38.947,Hard
Dean M,13,1:44.778,29.764,34.519,40.493,Hard
Dean M,14,1:47.757,30.235,34.085,43.436,Hard
Dean M,15,1:15.959,21.771,24.214,29.972,Hard
Dean M,16,1:15.228,20.853,24.240,30.135,Hard
Dean M,17,1:18.467,20.954,25.778,31.734,Hard
Dean M,18,1:15.273,21.285,24.024,29.963,Hard
Dean M,19,1:14.174,20.905,23.573,29.695,Hard
Dean M,20,1:14.589,20.918,23.729,29.942,Hard
Dean M,21,1:13.818,20.728,23.405,29.684,Hard
Dean M,22,1:14.027,20.980,23.354,29.692,Hard
Dean M,23,1:13.654,20.728,23.501,29.424,Hard
Dean M,24,1:13.687,20.668,23.436,29.582,Hard
Dean M,25,1:13.761,20.600,23.538,29.623,Hard
Dean M,26,1:13.743,20.699,23.510,29.533,Hard
Dean M,27,1:38.897,21.472,27.730,49.694,Soft
Dean M,28,1:26.262,21.955,24.623,39.683,Soft
Dean M,29,1:44.682,29.924,34.081,40.676,Soft
Dean M,30,1:51.430,30.584,33.699,47.146,Soft
Dean M,31,1:13.104,20.679,22.949,29.474,Soft
Dean M,32,1:11.970,20.008,22.701,29.260,Soft
Dean M,33,1:13.176,20.497,23.198,29.479,Soft
Dean M,34,1:13.574,20.459,23.539,29.575,Soft
Dean M,35,1:13.551,20.526,23.173,29.852,Soft
Riccardo G,1,1:27.900,28.164,27.029,32.706,Hard
Riccardo G,2,1:18.002,24.463,23.503,30.035,Hard
Riccardo G,3,1:14.305,20.807,23.630,29.866,Hard
Riccardo G,4,1:14.936,20.839,23.989,30.107,Hard
Riccardo G,5,1:15.221,20.862,23.794,30.563,Hard
Riccardo G,6,1:14.883,20.803,23.796,30.283,Hard
Riccardo G,7,1:14.906,20.858,23.597,30.450,Hard
Riccardo G,8,1:14.668,20.853,23.628,30.186,Hard
Riccardo G,9,1:15.114,20.871,24.025,30.216,Hard
Riccardo G,10,1:15.910,20.891,23.757,31.261,Hard
Riccardo G,11,1:22.046,24.221,25.250,32.574,Hard
Riccardo G,12,1:31.545,21.782,28.138,41.625,Hard
Riccardo G,13,1:44.731,29.763,34.438,40.529,Hard
Riccardo G,14,1:47.918,30.222,34.057,43.638,Hard
Riccardo G,15,1:15.587,21.584,24.014,29.988,Hard
Riccardo G,16,1:15.101,20.985,23.979,30.136,Hard
Riccardo G,17,1:32.748,20.931,25.533,46.283,Medium
Riccardo G,18,1:16.554,22.644,23.849,30.061,Medium
Riccardo G,19,1:13.769,20.482,23.468,29.819,Medium
Riccardo G,20,1:13.408,20.553,23.502,29.351,Medium
Riccardo G,21,1:13.917,20.502,23.533,29.881,Medium
Riccardo G,22,1:13.962,20.536,23.466,29.958,Medium
Riccardo G,23,1:14.850,21.180,23.618,30.051,Medium
Riccardo G,24,1:14.042,20.748,23.441,29.853,Medium
Riccardo G,25,1:14.282,20.735,23.608,29.937,Medium
Riccardo G,26,1:14.036,20.527,23.887,29.621,Medium
Riccardo G,27,1:22.711,26.703,24.084,31.923,Medium
Riccardo G,28,1:39.629,21.232,25.430,52.966,Soft
Riccardo G,29,1:33.561,22.570,30.212,40.778,Soft
Riccardo G,30,1:51.936,29.985,33.683,48.267,Soft
Riccardo G,31,1:13.226,20.475,23.100,29.650,Soft
Riccardo G,32,1:13.312,20.413,23.110,29.788,Soft
Riccardo G,33,1:13.482,20.546,23.134,29.802,Soft
Riccardo G,34,1:13.126,20.317,23.129,29.679,Soft
