Melbourne;Final Classification;;;;;;;;;;
Date / Time:;09.11.2022 / 09:10;;;;;;;;;;
Session:;Race;Laps:;29;;;;
Fastest lap:;Bxn_74;1:20.325;;;;;;
Pos;Name;RaceNumber;Team;Gap;BestLapTime;Pitstops;Pen. in-game;Pen. stewards;Points;GridPos;Status;
1;probablyOwen;28;Alpine;40:33.350;1:21.695;1;6;0;30;3;finished
2;Kr15-D1MOV;39;AlphaTauri;+1.881;1:21.812;1;3;5;20;2;finished
3;Alessio Banezzi;13;Mercedes;+6.864;1:21.795;1;0;0;24;5;finished
4;Cameron Searle;2;Williams;+8.799;1:20.885;2;3;0;16;1;finished
5;Callummm23;23;McLaren;+31.041;1:22.682;2;0;0;12;8;finished
6;Kent;88;Alfa Romeo;+35.349;1:22.598;1;0;0;10;7;finished
7;rikimaru;2;Red Bull;+38.383;1:22.015;1;6;0;8;6;finished
8;Cuh;73;Ferrari;+44.561;1:20.813;1;9;0;6;10;finished
9;Grima_19;19;Red Bull;+1:03.431;1:23.189;1;0;0;4;9;finished
10;Bxn_74;74;Mercedes;+1:19.383;1:20.325;3;9;0;3;4;finished
