Montreal;Final Classification;;;;;;;;;;
Date / Time:;11.10.2022 / 04:32;;;;;;;;;;
Session:;Race;Laps:;12;;;;
Fastest lap:;;1:12.974;;;;;;
Pos;Name;RaceNumber;Team;Gap;BestLapTime;Pitstops;Pen. in-game;Pen. stewards;Points;GridPos;Status;
1;Dean M;69;Red Bull;17:40.902;1:12.974;0;0;0;5;1;finished
2;Med M;20;Haas;+5.113;1:13.322;0;0;0;4;2;finished
3;Riccardo G;46;Haas;+7.366;1:13.987;0;0;0;3;4;finished
4;Mehdi T;21;Ferrari;+18.855;1:13.074;1;0;0;2;5;finished
5;Adit M;69;Aston Martin;+19.327;1:14.067;3;0;0;1;6;finished
6;Martin S;15;Mercedes;+19.861;1:14.772;1;0;0;0;10;finished
7;Carter N;31;Alpine;+23.683;1:15.683;1;0;0;0;9;finished
8;Tabonga Z;4;McLaren;+24.549;1:16.380;1;0;0;0;14;finished
9;Appo M;13;AlphaTauri;+26.714;1:13.206;1;0;0;0;3;finished
10;Alexandre M;85;Ferrari;+32.358;1:15.043;1;0;0;0;12;finished
11;Marcel Ř;34;Williams;+41.375;1:13.010;1;0;0;0;7;finished
12;Paul R;19;Williams;;1:17.028;1;0;0;0;8;disqualified
13;Michal B;2;Mercedes;;1:27.036;0;0;0;0;13;disqualified
14;Jordan F;2;McLaren;;;0;0;0;0;11;disqualified
